HO Energies	HF Energies	Orbital#	nlj	mj	tz
15	-40.4602	3	0s1/2	-1/2	1/2 15	-40.4602	4	0s1/2	1/2	1/2 25	-11.5886	9	0p3/2	-3/2	1/2
25	-11.5886	10	0p3/2	-1/2	1/2
25	-11.5886	11	0p3/2	1/2	1/2
25	-11.5886	12	0p3/2	3/2	1/2
25	-6.71334	15	0p1/2	-1/2	1/2
25	-6.71334	16	0p1/2	1/2	1/2
35	18.8082	23	0d5/2	-5/2	1/2
35	18.8082	24	0d5/2	-3/2	1/2
35	18.8082	25	0d5/2	-1/2	1/2
35	18.8082	26	0d5/2	1/2	1/2
35	18.8082	27	0d5/2	3/2	1/2
35	18.8082	28	0d5/2	5/2	1/2
35	22.9153	33	0d3/2	-3/2	1/2
35	22.9153	34	0d3/2	-1/2	1/2
35	22.9153	35	0d3/2	1/2	1/2
35	22.9153	36	0d3/2	3/2	1/2
35	22.9622	39	1s1/2	-1/2	1/2
35	22.9622	40	1s1/2	1/2	1/2
45	35.8526	49	0f7/2	-7/2	1/2
45	35.8526	50	0f7/2	-5/2	1/2
45	35.8771	51	0f7/2	-3/2	1/2
45	35.8771	52	0f7/2	-1/2	1/2
45	36.0339	53	0f7/2	1/2	1/2
45	36.0339	54	0f7/2	3/2	1/2
45	36.0339	55	0f7/2	5/2	1/2
45	36.0339	56	0f7/2	7/2	1/2
45	36.0596	63	0f5/2	-5/2	1/2
45	36.0596	64	0f5/2	-3/2	1/2
45	36.0596	65	0f5/2	-1/2	1/2
45	36.0596	66	0f5/2	1/2	1/2
45	36.0596	67	0f5/2	3/2	1/2
45	36.0596	68	0f5/2	5/2	1/2
45	39.2825	73	1p3/2	-3/2	1/2
45	39.2825	74	1p3/2	-1/2	1/2
45	39.3067	75	1p3/2	1/2	1/2
45	39.3067	76	1p3/2	3/2	1/2
45	39.3067	79	1p1/2	-1/2	1/2
45	39.3067	80	1p1/2	1/2	1/2
