HO Energies	HF Energies
15	-40.6426 0s1/2n
15	-40.6426 0s1/2n
15	-40.4602 0s1/2p
15	-40.4602 0s1/2p
25	-11.7201 0p3/2n
25	-11.7201 0p3/2n
25	-11.7201 0p3/2n
25	-11.7201 0p3/2n
25	-11.5886 0p3/2p 
25	-11.5886 0p3/2p
25	-11.5886 0p3/2p
25	-11.5886 0p3/2p
25	-6.84033 0p1/2n 
25	-6.84033 0p1/2n
25	-6.71334 0p1/2p  
25	-6.71334 0p1/2p
35	18.7589  0d5/2n
35	18.7589  0d5/2n
35	18.7589  0d5/2n
35	18.7589  0d5/2n
35	18.7589  0d5/2n
35	18.7589  0d5/2n
35	18.8082  0d5/2p
35	18.8082  0d5/2p
35	18.8082  0d5/2p
35	18.8082  0d5/2p
35	18.8082  0d5/2p
35	18.8082  0d5/2p
35	21.0250  1s1/2n
35	21.0247  1s1/2n
35	21.0654  1s1/2p
35	21.0654  1s1/2p
35	22.9153  0d3/2n
35	22.9153  0d3/2n
35	22.9153  0d3/2n
35	22.9153  0d3/2n
35	22.9622  0d3/2p
35	22.9622  0d3/2p
35	22.9622  0d3/2p
35	22.9622  0d3/2p
45	35.1345  1p3/2n
45	35.1345  1p3/2n
45	35.1345  1p3/2n
45	35.1345  1p3/2n
45	35.1584  1p3/2p
45	35.1584  1p3/2p
45	35.1584  1p3/2p
45	35.1584  1p3/2p
45	35.8526  1p1/2n  
45	35.8526  1p1/2n
45	35.8771  1p1/2p
45	35.8771  1p1/2p
45	36.0339  0f7/2n
45	36.0339  0f7/2n
45	36.0339  0f7/2n
45	36.0339  0f7/2n
45	36.0339  0f7/2n
45	36.0339  0f7/2n
45	36.0339  0f7/2n
45	36.0339  0f7/2n
45	36.0596  0f7/2p
45	36.0596  0f7/2p
45	36.0596  0f7/2p
45	36.0596  0f7/2p
45	36.0596  0f7/2p
45	36.0596  0f7/2p
45	36.0596  0f7/2p
45	36.0596  0f7/2p
45	39.2825  0f5/2n
45	39.2825  0f5/2n
45	39.2825  0f5/2n
45	39.2825  0f5/2n
45	39.2825  0f5/2n
45	39.2825  0f5/2n
45	39.3067  0f5/2p
45	39.3067  0f5/2p
45	39.3067  0f5/2p
45	39.3067  0f5/2p
45	39.3067  0f5/2p
45	39.3067  0f5/2p
