HO Energies	HF Energies	Orbital#	nlj	mj	tz
15	-40.6426	1	0s1/2	-1/2	-1/2
15	-40.6426	2	0s1/2	1/2	-1/2
25	-11.7201	5	0p3/2	-3/2	-1/2
25	-11.7201	6	0p3/2	-1/2	-1/2
25	-11.7201	7	0p3/2	1/2	-1/2
25	-11.7201	8	0p3/2	3/2	-1/2
25	-6.84033	13	0p1/2	-1/2	-1/2
25	-6.84033	14	0p1/2	1/2	-1/2
35	18.7589	17	0d5/2	-5/2	-1/2
35	18.7589	18	0d5/2	-3/2	-1/2
35	18.7589	19	0d5/2	-1/2	-1/2
35	18.7589	20	0d5/2	1/2	-1/2
35	18.7589	21	0d5/2	3/2	-1/2
35	18.7589	22	0d5/2	5/2	-1/2
35	21.0247	29	0d3/2	-3/2	-1/2
35	21.0247	30	0d3/2	-1/2	-1/2
35	21.0654	31	0d3/2	1/2	-1/2
35	21.0654	32	0d3/2	3/2	-1/2
35	22.9622	37	1s1/2	-1/2	-1/2
35	22.9622	38	1s1/2	1/2	-1/2
45	35.1345	41	0f7/2	-7/2	-1/2
45	35.1345	42	0f7/2	-5/2	-1/2
45	35.1345	43	0f7/2	-3/2	-1/2
45	35.1345	44	0f7/2	-1/2	-1/2
45	35.1584	45	0f7/2	1/2	-1/2
45	35.1584	46	0f7/2	3/2	-1/2
45	35.1584	47	0f7/2	5/2	-1/2
45	35.1584	48	0f7/2	7/2	-1/2
45	36.0339	57	0f5/2	-5/2	-1/2
45	36.0339	58	0f5/2	-3/2	-1/2
45	36.0339	59	0f5/2	-1/2	-1/2
45	36.0339	60	0f5/2	1/2	-1/2
45	36.0596	61	0f5/2	3/2	-1/2
45	36.0596	62	0f5/2	5/2	-1/2
45	39.2825	69	1p3/2	-3/2	-1/2
45	39.2825	70	1p3/2	-1/2	-1/2
45	39.2825	71	1p3/2	1/2	-1/2
45	39.2825	72	1p3/2	3/2	-1/2
45	39.3067	77	1p1/2	-1/2	-1/2
45	39.3067	78	1p1/2	1/2	-1/2
